"name","name_full","echantillon","Long_epsg2946","Lat_epsg2946"
"RfL-38","Site référence large-38","Stations non-échantillonnées",279007.639566315,5233256.8475274
"RfL-39","Site référence large-39","Stations non-échantillonnées",279079.340260451,5233220.11744305
"RfL-40","Site référence large-40","Stations non-échantillonnées",279269.535473938,5233254.51511533
"RfL-41","Site référence large-41","Stations non-échantillonnées",278987.999086092,5233253.34134263
"RfL-42","Site référence large-42","Stations non-échantillonnées",279221.232173375,5233221.96806386
"RfL-43","Site référence large-43","Stations non-échantillonnées",279267.908231564,5233239.90120384
"RfL-44","Site référence large-44","Stations non-échantillonnées",279088.687439481,5233205.97904838
"RfL-45","Site référence large-45","Stations non-échantillonnées",279381.384318287,5233325.62906115
"RfL-46","Site référence large-46","Stations non-échantillonnées",279353.502902034,5233260.05902864
"RfL-47","Site référence large-47","Stations non-échantillonnées",279344.827128538,5233290.42394946
"RfL-48","Site référence large-48","Stations non-échantillonnées",279069.844076144,5233208.63165732
"RfL-49","Site référence large-49","Stations non-échantillonnées",279381.070063042,5233307.2338413
"RfL-50","Site référence large-50","Stations non-échantillonnées",279378.687116613,5233282.46272526
